tweet_id,customer_text,predicted_intent,reply,evidence_ids,evidence_similarity,relevance_score,groundedness_score,helpfulness_score,completeness_score,safety_score,overall_score,pass_fail,hallucination_flag,evidence_use_flag,judge_rationale
2629104,Anyone know if there's a way to see on @115888 the exact date an album was released? All I can find is the year.,content_metadata,Hey there! We'd be happy to look into this for you. Can you let us know what device and Spotify version you're using? Feel free to send us a DM if you'd prefer to share account details privately.,"case_13313,case_24771",0.7185,4.0,4.5,3.5,4.5,5.0,4.3,PASS,False,True,"Evaluated with MockJudge: Relevance=4.0, Groundedness=4.5, TopSim=0.72. Reply provides safe, grounded assistance."
2720922,@SpotifyCares Hi.Sorry to bother you but you  currently have the wrong version of Body Electric on the Body Electric 4 track Single by The Sisters Of Mercy.It should be the '84 re-recording from the '84 https://t.co/Xce5DdZTSI have the '82 version.,content_metadata,Hey there! Thanks for reaching out. Let us know how we can help you out today!,"case_17058,case_21605",0.5304,3.0,4.0,3.5,4.0,5.0,3.9,PASS,False,True,"Evaluated with MockJudge: Relevance=3.0, Groundedness=4.0, TopSim=0.53. Reply provides safe, grounded assistance."
772043,@SpotifyCares Did spotify crash? Hasn't worked all day.,billing_and_payment,"Hi! That definitely doesn't sound right. Could you let us know what device, operating system, and Spotify app version you're currently using? We'll see what troubleshooting steps we can recommend.","case_05447,case_04339",0.8313,4.0,4.5,4.5,4.5,3.5,4.2,PASS,False,True,"Evaluated with MockJudge: Relevance=4.0, Groundedness=4.5, TopSim=0.83. Reply provides safe, grounded assistance."
48123,@SpotifyCares I think it works on faster speeds? Idk the search bar has been kind of wonky lately,search_and_discovery,Hey there! Thanks for reaching out. Let us know how we can help you out today!,"case_00700,case_15199",0.5869,3.0,4.0,3.5,4.0,5.0,3.9,PASS,False,True,"Evaluated with MockJudge: Relevance=3.0, Groundedness=4.0, TopSim=0.59. Reply provides safe, grounded assistance."
1815689,An idea: @115888 takes my most played playlist and makes an acoustic version of it so you can play the songs you like acoustically when you need that kind of vibe,feature_requests,"Hi! That definitely doesn't sound right. Could you let us know what device, operating system, and Spotify app version you're currently using? We'll see what troubleshooting steps we can recommend.","case_20744,case_39328",0.6923,3.0,4.0,4.5,4.5,5.0,4.2,PASS,False,True,"Evaluated with MockJudge: Relevance=3.0, Groundedness=4.0, TopSim=0.69. Reply provides safe, grounded assistance."
2517257,@SpotifyCares Sure... I just found out what DM is (lol) but I don't know how to do it! Can you direct me please?,other_non_actionable,Hey there! We'd be happy to look into this for you. Can you let us know what device and Spotify version you're using? Feel free to send us a DM if you'd prefer to share account details privately.,"case_00920,case_17159",0.7675,4.0,4.5,3.5,4.5,5.0,4.3,PASS,False,True,"Evaluated with MockJudge: Relevance=4.0, Groundedness=4.5, TopSim=0.77. Reply provides safe, grounded assistance."
330236,"@115888 As a former Groove Music sub, how do I get the 60 days premium? Everything from Groove came over to Spotify. Only see 30 day trial.",premium_and_subscription,Hey there! Thanks for reaching out. Let us know how we can help you out today!,"case_14757,case_21198",0.8778,3.0,4.5,3.5,4.0,5.0,4.0,PASS,False,True,"Evaluated with MockJudge: Relevance=3.0, Groundedness=4.5, TopSim=0.88. Reply provides safe, grounded assistance."
1408944,"@SpotifyCares spotify: Get spotify premium!
Also spotify: OOPS! YOUR CARD PROVIDER MAY HAVE A BAD DAY, TRY AGAIN LATER",billing_and_payment,Hey there! We'd be happy to look into this for you. Can you let us know what device and Spotify version you're using? Feel free to send us a DM if you'd prefer to share account details privately.,"case_06227,case_08206",0.8139,3.0,4.5,3.5,4.5,5.0,4.1,PASS,False,True,"Evaluated with MockJudge: Relevance=3.0, Groundedness=4.5, TopSim=0.81. Reply provides safe, grounded assistance."
374589,@SpotifyCares Premium. How do I upgrade to a Petty Premium that only plays Tom Petty? I don’t need any additional music (except maybe traveling Wilburys),feature_requests,"Hi! That definitely doesn't sound right. Could you let us know what device, operating system, and Spotify app version you're currently using? We'll see what troubleshooting steps we can recommend.","case_33864,case_11779",0.6078,3.0,4.0,4.5,4.5,5.0,4.2,PASS,False,True,"Evaluated with MockJudge: Relevance=3.0, Groundedness=4.0, TopSim=0.61. Reply provides safe, grounded assistance."
1074212,@SpotifyCares 2nd times this week... Downloaded playlist disappears...,playlist_and_library,"Hi! That definitely doesn't sound right. Could you let us know what device, operating system, and Spotify app version you're currently using? We'll see what troubleshooting steps we can recommend.","case_11258,case_02061",0.8229,3.0,4.5,4.5,4.5,5.0,4.3,PASS,False,True,"Evaluated with MockJudge: Relevance=3.0, Groundedness=4.5, TopSim=0.82. Reply provides safe, grounded assistance."
776162,"@SpotifyCares Used CDBaby to distribute with you.They say it's been delivered to you, but it's not up on our artist page yet. Any ideas? Release date 2day",other_non_actionable,Hey there! Thanks for reaching out. Let us know how we can help you out today!,"case_25447,case_33133",0.688,3.0,4.0,3.5,4.0,5.0,3.9,PASS,False,True,"Evaluated with MockJudge: Relevance=3.0, Groundedness=4.0, TopSim=0.69. Reply provides safe, grounded assistance."
1850463,"@SpotifyCares i’m not having an issue with my spotify, i was just wondering if me being in community college, am i able to get the discount",premium_and_subscription,Hey there! We'd be happy to look into this for you. Can you let us know what device and Spotify version you're using? Feel free to send us a DM if you'd prefer to share account details privately.,"case_03616,case_17165",0.8397,3.0,4.5,3.5,4.5,5.0,4.1,PASS,False,True,"Evaluated with MockJudge: Relevance=3.0, Groundedness=4.5, TopSim=0.84. Reply provides safe, grounded assistance."
1412311,"@SpotifyCares I got a new Phone, and now the app says I am aboard and can't log in anymore while I have never left the US. Please help!",account_and_login,"Hey! Help is here. If you're having trouble accessing your account, please send us a DM with the email address linked to your Spotify account so we can help you regain access securely.","case_24699,case_26882",0.6847,3.0,4.0,3.5,4.5,5.0,4.0,PASS,False,True,"Evaluated with MockJudge: Relevance=3.0, Groundedness=4.0, TopSim=0.68. Reply provides safe, grounded assistance."
38309,"@117153 @SpotifyCares I’m having payment problems, I’ve messaged you",billing_and_payment,Hey there! We'd be happy to look into this for you. Can you let us know what device and Spotify version you're using? Feel free to send us a DM if you'd prefer to share account details privately.,"case_10513,case_18348",0.7807,3.0,4.5,3.5,4.5,5.0,4.1,PASS,False,True,"Evaluated with MockJudge: Relevance=3.0, Groundedness=4.5, TopSim=0.78. Reply provides safe, grounded assistance."
1828726,Idk what technology @115888 uses when you put your playlist on shuffle but I can tell you 45% of the time my music does not shuffle 😑😐😐,playback_and_app_issues,"Hi! That definitely doesn't sound right. Could you let us know what device, operating system, and Spotify app version you're currently using? We'll see what troubleshooting steps we can recommend.","case_15519,case_30335",0.7993,3.0,4.5,4.5,4.5,5.0,4.3,PASS,False,True,"Evaluated with MockJudge: Relevance=3.0, Groundedness=4.5, TopSim=0.80. Reply provides safe, grounded assistance."
1755591,Is there a way of finding out upcoming Friday release albums on @116130 @115888 @SpotifyCares @38265 ? https://t.co/8k2RRu0jDj,search_and_discovery,Hey there! We'd be happy to look into this for you. Can you let us know what device and Spotify version you're using? Feel free to send us a DM if you'd prefer to share account details privately.,"case_14638,case_27022",0.721,3.0,4.5,3.5,4.5,5.0,4.1,PASS,False,True,"Evaluated with MockJudge: Relevance=3.0, Groundedness=4.5, TopSim=0.72. Reply provides safe, grounded assistance."
