tweet_id,text,predicted_intent,intent_confidence,top_retrieval_similarity,grounding_status,predicted_decision,predicted_risk,predicted_reason,primary_rule,human_decision,human_risk,human_notes
2517257,@SpotifyCares Sure... I just found out what DM is (lol) but I don't know how to do it! Can you direct me please?,other_non_actionable,0.2485,0.7675,grounded,escalate,medium,"Escalated because the request is ambiguous, non-actionable, or lacks sufficient issue details to resolve safely.",E7,,,
2600973,@SpotifyCares @736218 I need this too @SpotifyCares !,other_non_actionable,0.2579,0.6048,grounded,escalate,medium,"Escalated because the request is ambiguous, non-actionable, or lacks sufficient issue details to resolve safely.",E7,,,
1776736,@SpotifyCares From my phone via Bluetooth connection.,other_non_actionable,0.2104,0.645,grounded,escalate,medium,"Escalated because the request is ambiguous, non-actionable, or lacks sufficient issue details to resolve safely.",E7,,,
1779134,"@SpotifyCares dms, I’m furious",other_non_actionable,0.3879,0.6723,grounded,escalate,medium,"Escalated because the request is ambiguous, non-actionable, or lacks sufficient issue details to resolve safely.",E7,,,
501006,@SpotifyCares  https://t.co/d1bRMjtWJN,other_non_actionable,0.2969,1.0,grounded,escalate,medium,"Escalated because the request is ambiguous, non-actionable, or lacks sufficient issue details to resolve safely.",E7,,,
831456,@SpotifyCares Thankyou /ym,other_non_actionable,0.3879,0.5825,grounded,escalate,medium,"Escalated because the request is ambiguous, non-actionable, or lacks sufficient issue details to resolve safely.",E7,,,
609650,@SpotifyCares I have not but I’m about to! Thanks!,other_non_actionable,0.2575,0.8358,grounded,escalate,medium,"Escalated because the request is ambiguous, non-actionable, or lacks sufficient issue details to resolve safely.",E7,,,
2921966,@SpotifyCares Thanks Spotify. As if I ever doubted you for a moment!,other_non_actionable,0.2635,0.7542,grounded,escalate,medium,"Escalated because the request is ambiguous, non-actionable, or lacks sufficient issue details to resolve safely.",E7,,,
478966,@146300 @228816 @21914 thank you for making good songs and @SpotifyCares thank you putting good music on @115888 https://t.co/POwh6wAvGU,other_non_actionable,0.2625,0.6926,grounded,escalate,medium,"Escalated because the request is ambiguous, non-actionable, or lacks sufficient issue details to resolve safely.",E7,,,
470967,"@SpotifyCares Thanks, had already tried that to no avail.",other_non_actionable,0.2805,0.7932,grounded,escalate,medium,"Escalated because the request is ambiguous, non-actionable, or lacks sufficient issue details to resolve safely.",E7,,,
1828726,Idk what technology @115888 uses when you put your playlist on shuffle but I can tell you 45% of the time my music does not shuffle 😑😐😐,playback_and_app_issues,0.2011,0.7993,grounded,auto_handle,low,"Auto-handled because the intent is confident ('playback_and_app_issues' @ 0.20), relevant historical cases were retrieved (top similarity 0.80), and the generated reply is grounded in the retrieved evidence.",A1,,,
772043,@SpotifyCares Did spotify crash? Hasn't worked all day.,billing_and_payment,0.1487,0.8313,grounded,escalate,medium,"Escalated because intent confidence is below the configured threshold (0.15 < 0.20), so the system cannot reliably determine the customer's issue.",E1,,,
1246951,@115888 always freezes when I get to this song https://t.co/OBwE3j73bY,playback_and_app_issues,0.263,0.6902,grounded,auto_handle,low,"Auto-handled because the intent is confident ('playback_and_app_issues' @ 0.26), relevant historical cases were retrieved (top similarity 0.69), and the generated reply is grounded in the retrieved evidence.",A1,,,
2941488,@115888 I don’t know what to say about this app because it was so annoying and it doesn’t even work,playback_and_app_issues,0.2576,0.7081,grounded,auto_handle,low,"Auto-handled because the intent is confident ('playback_and_app_issues' @ 0.26), relevant historical cases were retrieved (top similarity 0.71), and the generated reply is grounded in the retrieved evidence.",A1,,,
2070326,"@SpotifyCares 
Apple Watch 3 = BYE Spotify HELLO Apple Music.",playback_and_app_issues,0.2215,0.7643,grounded,auto_handle,low,"Auto-handled because the intent is confident ('playback_and_app_issues' @ 0.22), relevant historical cases were retrieved (top similarity 0.76), and the generated reply is grounded in the retrieved evidence.",A1,,,
2456298,One of these days spotify will finally be optimized for iPhone X @SpotifyCares,playback_and_app_issues,0.1997,0.8797,grounded,escalate,medium,"Escalated because intent confidence is below the configured threshold (0.20 < 0.20), so the system cannot reliably determine the customer's issue.",E1,,,
1074212,@SpotifyCares 2nd times this week... Downloaded playlist disappears...,playlist_and_library,0.3583,0.8229,grounded,auto_handle,low,"Auto-handled because the intent is confident ('playlist_and_library' @ 0.36), relevant historical cases were retrieved (top similarity 0.82), and the generated reply is grounded in the retrieved evidence.",A1,,,
1858773,@115888 any way I can get a backup/list of everything I have downloaded/followed? All my music has been wiped twice now🙃,playlist_and_library,0.3362,0.6871,grounded,auto_handle,low,"Auto-handled because the intent is confident ('playlist_and_library' @ 0.34), relevant historical cases were retrieved (top similarity 0.69), and the generated reply is grounded in the retrieved evidence.",A1,,,
330236,"@115888 As a former Groove Music sub, how do I get the 60 days premium? Everything from Groove came over to Spotify. Only see 30 day trial.",premium_and_subscription,0.2706,0.8778,grounded,auto_handle,low,"Auto-handled because the intent is confident ('premium_and_subscription' @ 0.27), relevant historical cases were retrieved (top similarity 0.88), and the generated reply is grounded in the retrieved evidence.",A1,,,
1850463,"@SpotifyCares i’m not having an issue with my spotify, i was just wondering if me being in community college, am i able to get the discount",premium_and_subscription,0.2709,0.8397,grounded,auto_handle,low,"Auto-handled because the intent is confident ('premium_and_subscription' @ 0.27), relevant historical cases were retrieved (top similarity 0.84), and the generated reply is grounded in the retrieved evidence.",A1,,,
189937,@115888 I purchased premium and pay monthly but I didn’t know about the stu discount 😩 what can I do to get it? $12/13 a month can be rough LOL,premium_and_subscription,0.3017,0.6898,grounded,auto_handle,low,"Auto-handled because the intent is confident ('premium_and_subscription' @ 0.30), relevant historical cases were retrieved (top similarity 0.69), and the generated reply is grounded in the retrieved evidence.",A1,,,
2809524,@SpotifyCares Student hulu plan just deauthorized and I cannot get it fixed.... please help!,premium_and_subscription,0.2875,0.8441,grounded,auto_handle,low,"Auto-handled because the intent is confident ('premium_and_subscription' @ 0.29), relevant historical cases were retrieved (top similarity 0.84), and the generated reply is grounded in the retrieved evidence.",A1,,,
48123,@SpotifyCares I think it works on faster speeds? Idk the search bar has been kind of wonky lately,search_and_discovery,0.373,0.5869,grounded,auto_handle,low,"Auto-handled because the intent is confident ('search_and_discovery' @ 0.37), relevant historical cases were retrieved (top similarity 0.59), and the generated reply is grounded in the retrieved evidence.",A1,,,
1755591,Is there a way of finding out upcoming Friday release albums on @116130 @115888 @SpotifyCares @38265 ? https://t.co/8k2RRu0jDj,search_and_discovery,0.3687,0.721,grounded,auto_handle,low,"Auto-handled because the intent is confident ('search_and_discovery' @ 0.37), relevant historical cases were retrieved (top similarity 0.72), and the generated reply is grounded in the retrieved evidence.",A1,,,
