tweet_id,customer_text,predicted_intent,generated_reply,retrieved_evidence,evidence_similarity,escalation_decision,relevance,groundedness,helpfulness,completeness,safety,overall,hallucination_flag,notes
38309,"@117153 @SpotifyCares I’m having payment problems, I’ve messaged you",billing_and_payment,Hey there! We'd be happy to look into this for you. Can you let us know what device and Spotify version you're using? Feel free to send us a DM if you'd prefer to share account details privately.,"case_10513,case_18348",0.7807,auto_handle,,,,,,,,
1858773,@115888 any way I can get a backup/list of everything I have downloaded/followed? All my music has been wiped twice now🙃,playlist_and_library,Hey there! Thanks for reaching out. Let us know how we can help you out today!,"case_18458,case_10763",0.6871,auto_handle,,,,,,,,
76246,@SpotifyCares @115888 I’m unable to access my premium account please help,account_and_login,"Hey! Help is here. If you're having trouble accessing your account, please send us a DM with the email address linked to your Spotify account so we can help you regain access securely.","case_11418,case_40370",0.898,auto_handle,,,,,,,,
1650404,"@SpotifyCares I'm having trouble getting into my Spotify premium account under the name Ed Ledsham, username carrioncrow",account_and_login,"Hey! Help is here. If you're having trouble accessing your account, please send us a DM with the email address linked to your Spotify account so we can help you regain access securely.","case_01716,case_15799",0.7986,auto_handle,,,,,,,,
2517257,@SpotifyCares Sure... I just found out what DM is (lol) but I don't know how to do it! Can you direct me please?,other_non_actionable,Hey there! We'd be happy to look into this for you. Can you let us know what device and Spotify version you're using? Feel free to send us a DM if you'd prefer to share account details privately.,"case_00920,case_17159",0.7675,escalate,,,,,,,,
330236,"@115888 As a former Groove Music sub, how do I get the 60 days premium? Everything from Groove came over to Spotify. Only see 30 day trial.",premium_and_subscription,Hey there! Thanks for reaching out. Let us know how we can help you out today!,"case_14757,case_21198",0.8778,auto_handle,,,,,,,,
1850463,"@SpotifyCares i’m not having an issue with my spotify, i was just wondering if me being in community college, am i able to get the discount",premium_and_subscription,Hey there! We'd be happy to look into this for you. Can you let us know what device and Spotify version you're using? Feel free to send us a DM if you'd prefer to share account details privately.,"case_03616,case_17165",0.8397,auto_handle,,,,,,,,
2201071,@SpotifyCares I already tried that one but I still can't pay even though I have enough load to pay for the subscription 😕 It always says tht something went wrong; it's already been 3 days https://t.co/qxn01H2ucj,playback_and_app_issues,Hey there! Thanks for reaching out. Let us know how we can help you out today!,"case_07876,case_14736",0.8292,auto_handle,,,,,,,,
776162,"@SpotifyCares Used CDBaby to distribute with you.They say it's been delivered to you, but it's not up on our artist page yet. Any ideas? Release date 2day",other_non_actionable,Hey there! Thanks for reaching out. Let us know how we can help you out today!,"case_25447,case_33133",0.688,escalate,,,,,,,,
1412311,"@SpotifyCares I got a new Phone, and now the app says I am aboard and can't log in anymore while I have never left the US. Please help!",account_and_login,"Hey! Help is here. If you're having trouble accessing your account, please send us a DM with the email address linked to your Spotify account so we can help you regain access securely.","case_24699,case_26882",0.6847,escalate,,,,,,,,
456853,Reputation still not available on spotify ph,music_availability,Hey there! We'd be happy to look into this for you. Can you let us know what device and Spotify version you're using? Feel free to send us a DM if you'd prefer to share account details privately.,"case_31761,case_29753",0.9557,auto_handle,,,,,,,,
567985,Does @115888 have artist old mixtapes on it or just albums ?,music_availability,Hey there! We'd be happy to look into this for you. Can you let us know what device and Spotify version you're using? Feel free to send us a DM if you'd prefer to share account details privately.,"case_28216,case_14855",0.7177,auto_handle,,,,,,,,
